NAME nsam scaffold Gene Start End Length ThetaRFuLi_1 ThetaRFuLi_2 ThetaRFuLi_3 ThetaRFuLi_4 ThetaRFuLi_5 ThetaRFuLi_6 ThetaRFuLi_7 ThetaRFuLi_8 ThetaRFuLi_9 ThetaRFuLi_10 ThetaRFuLi_11 ThetaRFuLi_12 ThetaRFuLi_13 ThetaRFuLi_14 ThetaRFuLi_15 ThetaRFuLi_16 ThetaRFuLi_17 ThetaRFuLi_18 ThetaRFuLi_19 ThetaRFuLi_20 ThetaRFuLi_21 ThetaRFuLi_22 ThetaRFuLi_23 ThetaRFuLi_24 ThetaRFuLi_25 ThetaRFuLi_26 ThetaRFuLi_27 ThetaRFuLi_28 ThetaRFuLi_29 ThetaRFuLi_30 ThetaRFuLi_31 ThetaRFuLi_32 ThetaRFuLi_33 ThetaRFuLi_34 ThetaRFuLi_35 ThetaRFuLi_36 ThetaRFuLi_37 ThetaRFuLi_38 ThetaRFuLi_39 ThetaRFuLi_40 ThetaRFuLi_41 ThetaRFuLi_42 ThetaRFuLi_43 ThetaRFuLi_44 ThetaRFuLi_45 ThetaRFuLi_46 ThetaRFuLi_47 ThetaRFuLi_48 ThetaRFuLi_49 ThetaRFuLi_50 ThetaRFuLi_51 ThetaRFuLi_52 ThetaRFuLi_53 ThetaRFuLi_54 ThetaRFuLi_55 ThetaRFuLi_56 ThetaRFuLi_57 ThetaRFuLi_58 ThetaRFuLi_59 ThetaRFuLi_60 ThetaRFuLi_61 ThetaRFuLi_62 ThetaRFuLi_63 ThetaRFuLi_64 ThetaRFuLi_65 ThetaRFuLi_66 ThetaRFuLi_67 ThetaRFuLi_68 ThetaRFuLi_69 ThetaRFuLi_70 ThetaRFuLi_71 ThetaRFuLi_72 ThetaRFuLi_73 ThetaRFuLi_74 ThetaRFuLi_75 ThetaRFuLi_76 ThetaRFuLi_77 ThetaRFuLi_78 ThetaRFuLi_79 ThetaRFuLi_80 ThetaRFuLi_81 ThetaRFuLi_82 ThetaRFuLi_83 ThetaRFuLi_84 ThetaRFuLi_85 ThetaRFuLi_86 ThetaRFuLi_87 ThetaRFuLi_88 ThetaRFuLi_89 ThetaRFuLi_90 ThetaRFuLi_91 ThetaRFuLi_92 ThetaRFuLi_93 ThetaRFuLi_94 ThetaRFuLi_95 ThetaRFuLi_96 ThetaRFuLi_97 ThetaRFuLi_98 ThetaRFuLi_99 ThetaRFuLi_100
MICROBIOTE_BILEACID_genes 200 18 VIPR2 396379 466408 70030 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00142 0 0 0 0 0.00142 0 0 0.00142 0.00426 0 0 0 0.01563 0 0 0.00142 0 0 0.00142 0 0 0 0 0 0.00142 0 0 0 0.00142 0.00142 0 0.00142 0 0 0 0 0 0.00284 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00142 0 0 0 0 0 0 0 0 0 0 0 0.00142 0 0 0 0 0 0 0
MICROBIOTE_BILEACID_genes 200 18 ESYT2 565137 643308 78172 0.00127 0 0.00127 0.00127 0 0 0 0 0 0.00127 0 0 0 0 0.00127 0 0 0 0 0 0.00127 0 0 0 0 0 0.00127 0.00127 0 0 0 0.00127 0 0 0 0 0 0 0.00127 0 0 0 0 0 0 0 0 0.00382 0 0 0 0 0 0.00127 0.00127 0 0 0 0 0 0 0 0 0.00255 0.00127 0 0 0 0 0 0.00127 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00127 0 0.00127 0 0 0 0 0 0 0 0 0 0 0.00127 0.00127
MICROBIOTE_BILEACID_genes 200 18 PTPRN2 721125 1389609 668485 3e-04 0.00074 3e-04 0.00015 0 3e-04 0 0 3e-04 0.00015 3e-04 0 0.00015 0.00015 0 0.00015 0.00074 0.00045 0 0.00045 0.00045 6e-04 0.00015 0.00015 0.00015 0 3e-04 3e-04 0 0.00015 3e-04 3e-04 0 3e-04 0.00089 6e-04 0.00015 0 0 0.00015 0 0.00074 0.00015 0.00015 6e-04 0.00015 0 0.00015 0.00134 6e-04 0.00015 3e-04 0.00015 0 0 0.00045 0.00045 0.00045 6e-04 0.00015 0.00015 0 0.00089 0.00119 3e-04 3e-04 0.00015 3e-04 0 0.00104 0.00015 0.00074 0.00015 0 0.00104 0.00045 0.00015 0.00119 3e-04 0.00045 3e-04 3e-04 0 0.00045 0.00015 0.00015 0 0 6e-04 0.00015 3e-04 0.00015 0 0 3e-04 3e-04 0 0 0 0
MICROBIOTE_BILEACID_genes 200 18 LMBR1 1795462 1934951 139490 0 0 0 0.00143 0.00071 0 0 0.00071 0 0 0 0.00214 0 0 0 0 0.00071 0 0 0 0.00071 0 0.00071 0 0 0.00071 0.00071 0 0.00071 0.00071 0 0.00071 0 0.00071 0.00143 0.00071 0 0 0 0 0 0 0 0 0 0.00071 0 0 0 0 0 0 0 0 0 0.00071 0 0.00357 0 0 0.00143 0 0 0 0.00071 0 0 0 0 0 0.00071 0 0 0 0 0 0.00071 0 0.00071 0 0.00143 0 0 0 0 0.00143 0 0 0 0 0.00071 0 0 0 0 0 0 0.00071 0 0
MICROBIOTE_BILEACID_genes 200 18 PAXIP1 3066853 3111239 44387 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00224 0 0 0 0 0 0 0 0 0 0 0 0.00224 0 0 0 0 0 0 0 0.00224 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00224 0 0 0 0 0
MICROBIOTE_BILEACID_genes 200 18 DPP6 3148479 3905845 757367 0.00026 0.00013 0.00013 0.00079 0.00013 0.00013 0.00039 0.00092 0.00053 0.00079 0.00039 0.00053 0.00013 0.00066 0 0.00079 0.00053 0 0.00039 0.00013 0 0.00013 0 0.00066 0.00053 0.00013 0 0 0.00039 0.00013 0.00026 0 0.00053 0.00013 0 0.00039 0.00026 0.00053 0.00013 0.00066 0.00053 0.00039 0.00013 0 0.00013 0.00053 0 0.00013 0.00079 0.00013 0.00053 0.00026 0.00013 0.00013 0.00026 0.00066 0.00026 0.00039 0.00013 0.00039 0.00053 0.00026 0.00026 0.00013 0.00053 0.00013 0.00013 0.00053 0 0 0 0.00013 0 0.00026 0.00039 0.00013 0.00026 0.00053 0.00013 0.00026 0.00079 0.00013 0.00039 0 0 0.00105 0.00026 0 0.00039 0 0.00039 0.00053 0.00026 0.00026 0.00013 0.00053 0 0 0.00026 0
MICROBIOTE_BILEACID_genes 200 18 CCT8L2 4979300 4981545 2246 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
MICROBIOTE_BILEACID_genes 200 18 KMT2C 4993213 5279668 286456 0.00069 0.00104 0.00104 0 0 0.00035 0 0.00069 0.00035 0.00035 0.00035 0 0 0.00069 0.00035 0 0 0 0 0.00104 0.00035 0 0 0 0.00069 0 0.00035 0 0 0 0.00035 0 0 0 0 0.00035 0 0 0 0 0 0.00035 0 0.00035 0.00035 0.00035 0.00035 0 0 0 0.00035 0 0.00035 0 0 0.00035 0.00035 0 0 0.00035 0 0.00035 0 0.00104 0 0.00069 0 0 0.00035 0 0.00035 0 0 0 0 0 0.00035 0.00069 0 0 0.00035 0.00069 0.00035 0 0 0 0 0 0 0.00035 0.00069 0.00035 0 0 0 0 0 0 0.00035 0
MICROBIOTE_BILEACID_genes 200 18 PRKAG2 5475077 5744761 269685 0 0 0.00111 0 0 0.00037 0 0.00037 0 0.00037 0 0.00037 0.00037 0 0 0.00037 0 0.00037 0.00111 0 0 0 0 0.00037 0 0.00148 0 0 0.00037 0.00037 0 0.00074 0 0 0.00037 0 0 0.00074 0 0.00037 0.00037 0 0 0.00037 0 0.00074 0 0.00037 0.00037 0 0.00111 0.00037 0 0.00037 0 0.00111 0 0 0.00037 0 0 0.00074 0 0 0 0.00074 0 0 0 0.00074 0.00037 0 0 0 0 0 0.00037 0.00037 0 0.00074 0.00037 0 0 0 0.00037 0 0 0 0.00037 0 0 0.00221 0 0 0 0.00037 0.00037 0 0.00037 0.00037
MICROBIOTE_BILEACID_genes 200 18 NUB1 5899566 5928981 29416 0 0 0 0 0 0.00338 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00677 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00338 0 0 0 0 0 0 0 0 0 0.00338 0.00338 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
