NAME nsam scaffold Gene Start End Length ThetaRTaj_1 ThetaRTaj_2 ThetaRTaj_3 ThetaRTaj_4 ThetaRTaj_5 ThetaRTaj_6 ThetaRTaj_7 ThetaRTaj_8 ThetaRTaj_9 ThetaRTaj_10 ThetaRTaj_11 ThetaRTaj_12 ThetaRTaj_13 ThetaRTaj_14 ThetaRTaj_15 ThetaRTaj_16 ThetaRTaj_17 ThetaRTaj_18 ThetaRTaj_19 ThetaRTaj_20 ThetaRTaj_21 ThetaRTaj_22 ThetaRTaj_23 ThetaRTaj_24 ThetaRTaj_25 ThetaRTaj_26 ThetaRTaj_27 ThetaRTaj_28 ThetaRTaj_29 ThetaRTaj_30 ThetaRTaj_31 ThetaRTaj_32 ThetaRTaj_33 ThetaRTaj_34 ThetaRTaj_35 ThetaRTaj_36 ThetaRTaj_37 ThetaRTaj_38 ThetaRTaj_39 ThetaRTaj_40 ThetaRTaj_41 ThetaRTaj_42 ThetaRTaj_43 ThetaRTaj_44 ThetaRTaj_45 ThetaRTaj_46 ThetaRTaj_47 ThetaRTaj_48 ThetaRTaj_49 ThetaRTaj_50 ThetaRTaj_51 ThetaRTaj_52 ThetaRTaj_53 ThetaRTaj_54 ThetaRTaj_55 ThetaRTaj_56 ThetaRTaj_57 ThetaRTaj_58 ThetaRTaj_59 ThetaRTaj_60 ThetaRTaj_61 ThetaRTaj_62 ThetaRTaj_63 ThetaRTaj_64 ThetaRTaj_65 ThetaRTaj_66 ThetaRTaj_67 ThetaRTaj_68 ThetaRTaj_69 ThetaRTaj_70 ThetaRTaj_71 ThetaRTaj_72 ThetaRTaj_73 ThetaRTaj_74 ThetaRTaj_75 ThetaRTaj_76 ThetaRTaj_77 ThetaRTaj_78 ThetaRTaj_79 ThetaRTaj_80 ThetaRTaj_81 ThetaRTaj_82 ThetaRTaj_83 ThetaRTaj_84 ThetaRTaj_85 ThetaRTaj_86 ThetaRTaj_87 ThetaRTaj_88 ThetaRTaj_89 ThetaRTaj_90 ThetaRTaj_91 ThetaRTaj_92 ThetaRTaj_93 ThetaRTaj_94 ThetaRTaj_95 ThetaRTaj_96 ThetaRTaj_97 ThetaRTaj_98 ThetaRTaj_99 ThetaRTaj_100
MICROBIOTE_BILEACID_genes 200 18 VIPR2 396379 466408 70030 0.00776 0.00022 0.00016 0.00035 0.00012 0.00017 0.00781 0.00016 0.00038 0.00016 0.00035 0.00039 0.00035 0.00028 0.00756 0.00759 0.00037 0.00034 0.00016 0.00811 0.00802 0.00029 0.00033 0.00047 0.00034 0.00017 0.00034 0.00028 0.00042 0.00016 0.00034 0.00039 0.00018 0.00034 0.00031 0.00041 0.00026 0.00028 0.008 0.00054 0.00796 0.00046 0.00036 0.00022 0.00016 0.00037 3e-04 0.00015 0.00034 0.00798 0.00028 0.00017 0.00016 3e-04 7e-05 0.00026 0.00018 0.00039 0.00797 0.00022 0.00035 0.00018 0.00022 0.00039 0.00041 0.00023 0.00023 0.00797 0.00014 0.00033 0.00029 0.00018 0.00032 0.00012 0.00021 4e-04 0.00034 0.00016 0.00016 0.00037 0.00036 0.00036 0.00022 0.00021 0.00018 0.00029 0.00046 0.00025 0.00036 0.00022 0.00014 0.00033 0.00047 0.00028 0.00017 0.00042 0.00016 0.00035 0.00033 0.00029
MICROBIOTE_BILEACID_genes 200 18 ESYT2 565137 643308 78172 0.00417 0.00015 1e-04 0.00027 9e-05 5e-05 0.00417 9e-05 0.00025 0.00011 0.00025 0.00024 0.00026 0.00014 0.00391 0.00397 0.00026 0.00017 5e-05 0.00414 0.00415 0.00016 0.00017 0.00026 0.00025 1e-04 0.00025 0.00017 0.00024 1e-04 0.00017 0.00018 1e-04 0.00017 0.00016 0.00016 0.00014 0.00016 0.00426 0.00017 0.00414 0.00025 0.00026 0.00026 1e-04 0.00025 0.00014 0.00014 0.00017 0.00417 0.00014 1e-04 9e-05 0.00015 0.00011 0.00014 1e-04 0.00025 0.00393 0.00014 0.00024 9e-05 0.00014 0.00026 0.00025 0.00015 0.00014 0.00404 5e-05 0.00017 0.00017 9e-05 0.00016 9e-05 0.00015 0.00025 0.00021 9e-05 1e-04 0.00025 0.00017 0.00017 0.00014 0.00015 9e-05 0.00018 0.00025 0.00015 0.00025 0.00015 9e-05 0.00024 0.00025 0.00016 5e-05 0.00024 9e-05 0.00027 0.00026 0.00017
MICROBIOTE_BILEACID_genes 200 18 PTPRN2 721125 1389609 668485 0.00316 0.00242 0.00061 0.00228 0.00062 0.00189 0.00318 7e-04 0.00226 0.00061 0.00228 0.00277 0.00227 0.00237 0.00313 0.00311 0.00223 0.00353 0.00189 0.00268 0.00318 0.00299 0.00353 0.00227 0.0023 0.00062 0.00223 0.00172 0.00221 0.00061 0.0035 0.00352 6e-04 0.00354 0.00172 0.00334 0.00244 0.00171 0.00317 0.0017 0.0027 0.00311 0.00225 0.00227 6e-04 0.00224 0.00246 6e-04 0.00354 0.00324 0.00234 0.00061 0.00061 0.00241 0.00063 0.00231 6e-04 0.00228 0.00319 0.00232 0.00224 0.00058 0.00246 0.00228 0.00227 0.00241 0.00239 0.00319 0.00189 0.00403 0.00172 6e-04 0.00172 0.00063 0.00241 0.00229 0.00227 0.00064 0.00059 0.00308 0.00343 0.00354 0.0024 0.0023 0.00062 0.00331 0.00314 0.00246 0.00226 0.00247 0.00061 0.00225 0.00225 0.00172 0.0019 0.00225 6e-04 0.00226 0.0031 0.00271
MICROBIOTE_BILEACID_genes 200 18 LMBR1 1795462 1934951 139490 7e-05 0.00109 6e-05 0.00702 5e-05 0.00109 6e-05 6e-05 0.00694 7e-05 0.00701 0.007 0.00699 0.00103 3e-05 0.00016 0.00699 0.00782 0.0011 0.00698 0.00697 0.00703 0.0079 0.00693 0.00014 6e-05 0.00688 0.00701 0.0069 0.00011 0.00783 0.00782 6e-05 0.00789 0.00699 0.00776 0.00105 0.00699 4e-05 0.00698 0.007 0.0011 0.00695 0.00698 0.00011 0.00703 0.00109 1e-04 0.0078 6e-05 0.00106 6e-05 3e-05 0.00109 1e-04 0.00108 5e-05 0.007 7e-05 0.00112 0.00693 6e-05 0.00111 0.00701 0.00697 7e-05 0.00112 4e-05 0.00111 0.00774 0.0079 9e-05 0.00787 0.00694 0.00114 0.00698 0.00697 4e-05 4e-05 5e-05 0.00776 0.00787 0.0011 0.00105 2e-05 0.00784 0.00109 0.00112 0.00695 0.00113 7e-05 0.00687 0.00704 0.00698 0.00111 0.00698 1e-05 0.00701 0.00697 0.00699
MICROBIOTE_BILEACID_genes 200 18 PAXIP1 3066853 3111239 44387 0.00643 0.00018 0.00648 3e-04 0.00646 0.00018 0.00653 0.00014 0.00663 0.00655 0.00668 0.00019 0.00655 0.00014 0.00048 0.00641 0.00644 0.00014 0.00018 5e-04 0.00045 0.00014 0.00014 0.00648 0.00045 0.00049 3e-04 0.00018 0.00642 0.00049 0.00016 0.00018 0.00654 0.00655 3e-04 0.00048 0.00014 3e-04 0.00014 0.00652 0.00043 4e-04 0.00661 0.00646 0.00019 0.00664 0.00661 0.00014 0.00659 0.00014 0.00627 0.00656 0.00644 0.00659 0.0066 0.00645 0.00648 0.0066 0.00014 0.00014 0.00645 0.00646 0.00641 0.00041 4e-04 0.00646 0.0065 0.00654 0.00014 0.00645 0.00646 0.00646 0.00655 0.00644 0.00014 0.00654 0.00644 0.00645 0.00648 0.00659 0.00036 0.00036 0.00653 0.00014 0.00646 0.00661 0.0067 0.00654 3e-04 0.00014 0.00646 0.00648 0.00657 0.00646 2e-04 0.00652 0.00644 0.00657 0.00644 0.00659
MICROBIOTE_BILEACID_genes 200 18 DPP6 3148479 3905845 757367 0.00882 0.00175 0.00324 0.00161 0.00323 0.00148 0.00877 0.00242 0.00381 0.00846 0.0038 0.00408 0.00837 0.00112 0.00251 0.00869 0.00438 0.00111 0.00149 0.00261 0.00262 0.00416 0.00112 0.00436 0.00206 0.00209 0.0016 0.00114 0.00838 0.00202 0.00147 0.00146 0.00435 0.00492 0.00231 0.00445 0.0015 0.00226 0.00205 0.00792 0.00261 0.00483 0.00383 0.00362 0.00136 0.01004 0.00445 0.00112 0.00498 0.00205 0.00385 0.00435 0.00347 0.00871 0.00386 0.00382 0.00384 0.01007 0.00201 0.00113 0.00381 0.00343 0.00442 0.0046 0.0045 0.00434 0.00472 0.00456 0.00176 0.00403 0.00799 0.0079 0.00433 0.00489 0.00149 0.00848 0.00784 0.00349 0.00423 0.00863 0.00445 0.0046 0.00392 0.00145 0.00347 0.00651 0.00701 0.00445 0.00159 0.00112 0.00788 0.00847 0.00627 0.0046 0.00176 0.00626 0.00439 0.00638 0.00453 0.00605
MICROBIOTE_BILEACID_genes 200 18 CCT8L2 4979300 4981545 2246 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
MICROBIOTE_BILEACID_genes 200 18 KMT2C 4993213 5279668 286456 0.00055 5e-05 0.00012 3e-05 2e-05 1e-05 0.00055 0.00061 0.00054 5e-05 0.00052 0.00054 0.00055 0.00055 0.00055 0.00051 0.00061 0.00053 0.00053 0.00058 0.00054 0.00053 0.00056 0.00052 1e-05 2e-05 2e-05 0.00054 5e-04 2e-05 0.00053 0.00058 0.00053 2e-05 2e-05 0.00058 0.00054 3e-05 0.00054 1e-05 0.00056 0.00055 2e-05 0.00051 0.00058 0.00059 0.00053 3e-05 1e-05 0.00056 2e-05 0.00051 2e-05 0.00054 1e-05 1e-05 3e-05 0.00059 0.00053 0.00053 3e-05 1e-05 1e-05 0.00054 0.00056 5e-05 5e-04 0.00056 0.00051 1e-05 3e-05 5e-04 0.00057 5e-05 2e-05 0.00049 0.00057 0.00058 0 0.00052 0.00058 0.00056 3e-05 1e-05 4e-05 0.00056 0.00056 0.00053 1e-05 1e-05 0.00063 0.00049 0.00061 1e-05 0.00052 0.00059 2e-05 0.00059 0.00054 0.00054
MICROBIOTE_BILEACID_genes 200 18 PRKAG2 5475077 5744761 269685 0.00273 0.00414 0.00346 0.00171 0.00123 0.00417 0.00276 0.00348 0.00278 0.00364 0.00279 0.00215 0.0032 0.00356 0.00053 0.00271 0.00356 0.00359 0.00379 0.00054 5e-04 0.00214 0.00364 0.00356 0.00122 0.00124 0.00168 0.00298 0.00361 0.00123 0.00386 0.00389 0.00359 0.00282 0.00213 0.00276 0.00204 0.0021 0.002 0.00169 5e-04 0.0036 0.00171 0.00364 0.00349 0.00366 0.00245 0.00353 0.00281 0.00171 0.0036 0.0017 0.00122 0.00424 0.00124 0.00362 0.00125 0.00369 0.00171 0.00169 0.00169 0.00169 0.00364 0.00305 0.00302 0.00224 0.00385 0.00303 0.00251 0.00352 0.00219 0.00409 0.00051 0.00173 0.00333 0.00332 0.00383 0.003 0.0022 0.00331 0.00354 0.00339 0.00365 0.00332 0.00122 0.00214 0.00304 0.00244 0.0017 0.00365 0.00391 0.00325 0.00361 0.00052 0.00247 0.00358 0.00227 0.00363 0.00358 0.00144
MICROBIOTE_BILEACID_genes 200 18 NUB1 5899566 5928981 29416 0.00054 0.00081 0.00067 0.00054 0 0.00085 0.00111 0.0012 0.0012 0.00082 0.0012 0.00059 0.00085 0.00078 0.00054 0.00118 0.00075 0.00078 0.00114 0.00054 0.00054 0.00048 0.00078 0.00075 0 0 0.00045 5e-05 8e-05 7e-05 0.00067 7e-04 0.00079 0.00117 0.00059 0.00054 6e-04 7e-04 0.00054 0.00042 0.00054 5e-05 0.00058 5e-05 8e-05 5e-05 0.00078 7e-04 0.00114 0.00054 0.00067 0.00051 0 0.00088 3e-05 0.00078 0 5e-05 0.00054 0.00054 0.00058 0.00046 0.00078 5e-05 5e-05 0.00027 0.00031 5e-05 0.00078 0.00075 0.00054 0.00085 0.00054 0.00054 7e-04 7e-04 7e-04 5e-05 0.00027 0.00067 0.00072 0.00027 0.00075 7e-04 0 0.00066 5e-05 0.00078 0.00054 0.00078 7e-04 0.00074 0.00078 0.00054 0.00078 0.00088 3e-04 0.00075 0.00078 0.00078
